station_code,cust_id,first_dw_billdate,last_dw_billdate,zw_day,day_num,total_num,total_fee,bill_num,kz_total_num,kz_total_fee,kz_bill_num,th_total_num,th_total_fee,th_bill_num,cancel_total_num,cancel_total_fee,cancel_bill_num,avg_day,median_day,stddev_day
1003,124980,2018/3/24 0:00,2019/7/10 0:00,473,3,-592,1380,3,0,0,0,0,0,0,0,0,0,236.5,236.5,68.5
1003,124983,2018/4/19 0:00,2019/1/7 0:00,263,4,-15,1567,5,-8,377,3,0,0,0,0,0,0,87.66666667,24,104.4998671
1003,124984,2018/5/3 0:00,2019/7/16 0:00,439,20,-84,21205,22,0,0,0,0,0,0,0,0,0,23.10526316,15,27.31279773
1003,124985,2018/5/9 0:00,2019/8/31 0:00,479,32,-113,33071.5,40,-40,1631.5,13,0,0,0,0,0,0,15.4516129,9,19.24517319
1003,124988,2018/4/11 0:00,2018/7/30 0:00,110,7,-19,9270,7,0,0,0,0,0,0,0,0,0,18.33333333,18,8.993825042
1003,124992,2018/3/24 0:00,2019/8/11 0:00,505,40,-678,110800,50,0,0,0,15,-5095,6,0,0,0,12.94871795,8,17.93713912
1003,124994,2018/1/12 0:00,2019/8/23 0:00,588,69,-451,24459.32,122,-423,20149.2,110,13,-551,6,0,0,0,8.647058824,2,17.5991015
1003,124997,2018/3/24 0:00,2018/3/29 0:00,5,2,-8212,3632,3,0,0,0,9,-4589,1,0,0,0,5,5,0
1003,124998,2018/11/25 0:00,2018/11/25 0:00,0,1,-5,150,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,125000,2019/7/23 0:00,2019/7/23 0:00,0,1,13,-820,1,13,-820,1,13,-820,1,0,0,0,\N,\N,\N
1003,125001,2018/3/1 0:00,2019/9/1 0:00,549,34,-63,5862,35,-51,3282,29,3,-65,1,0,0,0,16.63636364,11,17.86789601
1003,125002,2018/3/24 0:00,2018/3/24 0:00,0,1,-5386,5386,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,125003,2018/2/1 0:00,2019/8/19 0:00,564,70,-366,8313,83,-194,7328,80,1,-80,1,0,0,0,8.173913043,5,9.331195182
1003,125005,2018/9/28 0:00,2019/7/11 0:00,286,3,-7,2280,3,0,0,0,0,0,0,0,0,0,143,143,103
1003,125010,2018/8/27 0:00,2018/8/28 0:00,1,2,-151,43283,2,0,0,0,10,-3270,1,0,0,0,1,1,0
1003,125016,2018/3/24 0:00,2019/8/18 0:00,512,46,-5772,110595.5,50,0,0,0,3,-1285,3,0,0,0,11.37777778,11,7.726689355
1003,125017,2018/4/10 0:00,2019/6/17 0:00,433,2,-2,530,2,0,0,0,0,0,0,0,0,0,433,433,0
1003,125018,2018/3/29 0:00,2018/10/8 0:00,193,11,-46,1303,13,-32,633,11,0,0,0,0,0,0,19.3,6,21.06679852
1003,125023,2018/4/10 0:00,2019/3/31 0:00,355,9,-17,1304,9,-14,569,7,0,0,0,0,0,0,44.375,23.5,44.03390029
1003,125026,2018/5/10 0:00,2018/5/21 0:00,11,2,-4,1520,2,0,0,0,0,0,0,0,0,0,11,11,0
1003,125029,2018/5/8 0:00,2018/8/25 0:00,109,4,-1,175,5,-1,175,5,6,-295,2,0,0,0,36.33333333,17,39.20317447
1003,125032,2018/5/14 0:00,2019/4/1 0:00,322,10,-71,28465,11,0,0,0,2,-685,2,0,0,0,35.77777778,19,32.00964361
1003,125033,2018/3/24 0:00,2018/3/24 0:00,0,1,-5700,5700,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,125038,2018/3/24 0:00,2018/3/24 0:00,0,1,-550,550,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,125039,2018/9/29 0:00,2019/8/18 0:00,323,5,-12,2880,5,-6,140,1,0,0,0,0,0,0,80.75,81,59.83884608
1003,125040,2018/3/24 0:00,2018/3/24 0:00,0,1,-330,330,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,125042,2018/10/11 0:00,2018/12/22 0:00,72,5,-12,1210,6,-3,80,3,0,0,0,0,0,0,18,10.5,18.17965896
1003,125044,2018/1/12 0:00,2019/8/29 0:00,594,125,-814,16665.51,180,-455,11675.51,161,21,-824,12,0,0,0,4.790322581,3,4.879638725
1003,125049,2018/2/1 0:00,2019/3/13 0:00,405,3,-4,1140,3,-1,70,1,0,0,0,0,0,0,202.5,202.5,89.5
1003,125053,2018/4/13 0:00,2019/4/19 0:00,371,4,-5,1490,4,0,0,0,2,-860,1,0,0,0,123.6666667,21,155.1973654
1003,125054,2019/8/19 0:00,2019/8/19 0:00,0,1,-1,360,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,125057,2018/3/24 0:00,2019/7/29 0:00,492,6,-4145,11930,7,0,0,0,1,-350,1,0,0,0,98.4,93,57.81556884
1003,125058,2018/6/15 0:00,2018/7/30 0:00,45,3,-16,9920,3,0,0,0,0,0,0,0,0,0,22.5,22.5,0.5
1003,125062,2019/7/27 0:00,2019/8/11 0:00,15,2,-2,640,2,0,0,0,0,0,0,0,0,0,15,15,0
1003,125070,2018/9/28 0:00,2019/2/12 0:00,137,2,-2,780,2,0,0,0,0,0,0,0,0,0,137,137,0
1003,125071,2019/6/20 0:00,2019/7/19 0:00,29,2,-5,2840,2,0,0,0,0,0,0,0,0,0,29,29,0
1003,125072,2018/12/27 0:00,2018/12/27 0:00,0,1,-1,150,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
